"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","494","should accept viewAllCourseType query param","","2026-01-27","failed","2026-01-27","Marketing API - CourseData Endpoints > POST /api/CourseData/getallcourses","Marketing-API/CourseData.spec.js","",""
"","356","should handle deletion when no picture exists","","2026-01-27","passed","2026-01-27","Admin API - UserManagement Tests > DELETE /UserManagement/deleteprofilepicture","Admin-API/UserManagement.spec.js","",""
"","30","Step 2: GET - Verify configuration after CREATE","","2026-01-27","skipped","2026-01-27","Admin API - VisibilityTenantSettings Tests > Configuration - CRUD Flow","Admin-API/VisibilityTenantSettings.spec.js","",""
"","15","Step 3: UPDATE - PUT /Notification/updatenotificationtemplates","","2026-01-27","skipped","2026-01-27","Admin API - Notification Tests > Notification Template - CRUD Flow","Admin-API/Notification.spec.js","",""
"Validate API handles invalid session IDs","364","Sessions API - Invalid Session ID","","2026-01-27","passed","2026-01-27","Webinar Sessions Management API - Comprehensive Testing > ❌ NEGATIVE TEST CASES","Client-API/Sessions.spec.js","",""
"","328","should handle non-existent configuration ID","","2026-01-27","passed","2026-01-27","Admin API - VisibilityTenantSettings Tests > Configuration - Additional Tests","Admin-API/VisibilityTenantSettings.spec.js","",""
"","340","should handle non-existent notification ID","","2026-01-27","passed","2026-01-27","Admin API - Notification Tests > Notification - Additional Tests","Admin-API/Notification.spec.js","",""
"","342","should reject invalid tenant settings data","","2026-01-27","passed","2026-01-27","Admin API - VisibilityTenantSettings Tests > Tenant Settings - Additional Tests","Admin-API/VisibilityTenantSettings.spec.js","",""
"","14","Step 4: GET - Verify template after UPDATE","","2026-01-27","skipped","2026-01-27","Admin API - Notification Tests > Notification Template - CRUD Flow","Admin-API/Notification.spec.js","",""
"","1399","should retrieve Chargebee subscription details","","2026-01-27","passed","2026-01-27","Admin API - FeatureFlag Tests > GET /FeatureFlag/chargebeesubscriptiondetails","Admin-API/FeatureFlag.spec.js","",""
"Validate API rejects unauthorized badge operations","1305","Badges API - Unauthorized Access","","2026-01-27","passed","2026-01-27","Badges Management API - Comprehensive Testing > ❌ NEGATIVE TEST CASES","Client-API/Badges.spec.js","",""
"","514","NEGATIVE: should reject exceeding max length for button text","","2026-01-27","failed","2026-01-27","Marketing API - Page Content Endpoints > Static Content - POST /api/PageSectionStaticContent/pagesectionstaticcontent","Marketing-API/PageContent.spec.js","",""
"","499","should create section with visibility false","","2026-01-27","failed","2026-01-27","Marketing API - Page Section Endpoints > Section Visibility and Publishing","Marketing-API/PageSection.spec.js","",""
