"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Skolasti API Automation","1","Quiz Management","0","0","Quiz Levels API","0"
"0","Skolasti API Automation","2","Course Management","0","0","Course CRUD Operations","0"
"0","Skolasti API Automation","1","Course Section Management","0","0","Course Section CRUD","0"
"0","Skolasti API Automation","1","Quiz Management","0","0","Quiz Execution Flow","0"
"0","Skolasti API Automation","1","Video Content Management","0","0","Video CRUD","0"
"0","Skolasti API Automation","1","Quiz Management","0","0","Question Choice Validation","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Get All Subscription Plans","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Get Subscription Plan By ID","0"
"0","Skolasti API Automation","1","Category Management","0","0","Get All Playlist Categories","0"
"0","Skolasti API Automation","1","Category Management","0","0","Get All Categories","0"
"0","Skolasti API Automation","1","Category Management","0","0","Categories Consistency Check","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Create Plans with Different Validity Types","0"
"0","Skolasti API Automation","1","Quiz Management","0","0","Quiz Negative Testing","0"
"0","Skolasti API Automation","1","Audio Content Management","0","0","Audio CRUD","0"
"0","Skolasti API Automation","1","Quiz Management","0","0","Quiz Multi-Level Creation","0"
"0","Skolasti API Automation","1","Course Lesson Management","0","0","Course Lesson with Video CRUD","0"
"0","Skolasti API Automation","0","Subscription Management","1","0","Negative Test - Get Non-Existent Plan","0"
"0","Skolasti API Automation","1","Category Management","0","0","Invalidate Category Caches","0"
"0","Skolasti API Automation","1","Course Management","0","0","Complete Course Lifecycle","0"
"0","Skolasti API Automation","1","Document Content Management","0","0","Document CRUD","0"
"0","Skolasti API Automation","1","Subscription Management","0","0","Complete Subscription Plan CRUD Flow","0"
"0","Skolasti API Automation","1","Course Skills Management","0","0","Course Skills CRUD","0"
"0","Skolasti API Automation","1","Quiz Management","0","0","Complete Quiz & Question CRUD Flow","0"
"0","Skolasti API Automation","1","Course Lesson Management","0","0","Course Lesson with Audio CRUD","0"
"0","Skolasti API Automation","1","Course Lesson Management","0","0","Course Lesson with Document CRUD","0"
