"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Complete validation of Course API including create, get, update, delete, and get all operations","5238","Course - Complete CRUD Operations","","2025-12-10","failed","2025-12-10","Course API","Course/Course.spec.js","",""
"Complete validation of Course Lesson API with Document content","1332","Course Lesson (Document) - Complete CRUD Operations","","2025-12-10","failed","2025-12-10","Course Lesson API","Course/CourseLesson.spec.js","",""
"Complete validation of Document API including create, get, update, and delete operations","1371","Document - Complete CRUD Operations","","2025-12-10","failed","2025-12-10","Document API","Course/Document.spec.js","",""
"Complete validation of Course Lesson API with Video content","1334","Course Lesson (Video) - Complete CRUD Operations","","2025-12-10","failed","2025-12-10","Course Lesson API","Course/CourseLesson.spec.js","",""
"Complete validation of Audio API including create, get, update, and delete operations","2249","Audio - Complete CRUD Operations","","2025-12-10","failed","2025-12-10","Audio API","Course/Audio.spec.js","",""
"Complete validation of Course Lesson API with Audio content","1320","Course Lesson (Audio) - Complete CRUD Operations","","2025-12-10","failed","2025-12-10","Course Lesson API","Course/CourseLesson.spec.js","",""
"End-to-end validation of course creation, retrieval, update, and deletion with detailed verification","1211","Create a course, get course details, update course, get updated course details, delete course and verify deletion","","2025-12-10","failed","2025-12-10","Course CRUD Operations with Validation","CourseCrudoperation.spec.js","",""
"Complete validation of Video API including create operation","1274","Video - Complete CRUD Operations","","2025-12-10","failed","2025-12-10","Video API","Course/Video.spec.js","",""
"Complete validation of Course Skills API including create, get all, update, and delete operations","1413","Course Skills - Complete CRUD Operations","","2025-12-10","failed","2025-12-10","Course Skills API","Course/CourseSkills.spec.js","",""
"Complete validation of Course API including levels, types, CRUD operations, and retrieval","2015","Course API - Complete Validation: CRUD + Levels + Types + GetAll","","2025-12-10","failed","2025-12-10","Course Management API","Course/CourseCrud.spec.js","",""
"Complete validation of Course Section API including create, get all, update, and delete operations","1508","Course Section - Complete CRUD Operations","","2025-12-10","failed","2025-12-10","Course Section API","Course/CourseSection.spec.js","",""
