"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Skolasti API Automation","2","Course Management","0","0","Course CRUD Operations","0"
"0","Skolasti API Automation","1","Course Lesson Management","0","0","Course Lesson with Document CRUD","0"
"0","Skolasti API Automation","1","Document Content Management","0","0","Document CRUD","0"
"0","Skolasti API Automation","1","Course Lesson Management","0","0","Course Lesson with Video CRUD","0"
"0","Skolasti API Automation","1","Audio Content Management","0","0","Audio CRUD","0"
"0","Skolasti API Automation","1","Course Lesson Management","0","0","Course Lesson with Audio CRUD","0"
"0","Skolasti API Automation","1","Course Management","0","0","Complete Course Lifecycle","0"
"0","Skolasti API Automation","1","Video Content Management","0","0","Video CRUD","0"
"0","Skolasti API Automation","1","Course Skills Management","0","0","Course Skills CRUD","0"
"0","Skolasti API Automation","1","Course Section Management","0","0","Course Section CRUD","0"
